機關名稱,OID,電話,地址,DN,,,,,,,,,
經濟部標準檢驗局高雄分局,2.16.886.101.20003.20007.20010.20005,07-2511151,高雄市苓雅區海邊路50號,ou=高雄分局,ou=標準檢驗局,ou=經濟部,o=行政院,c=TW,,,,,
經濟部標準檢驗局花蓮分局,2.16.886.101.20003.20007.20010.20006,03-8221121,花蓮市海岸路19號,ou=花蓮分局,ou=標準檢驗局,ou=經濟部,o=行政院,c=TW,,,,,
經濟部智慧財產局,2.16.886.101.20003.20007.20011,02-27380007,台北市辛亥路2段185號3樓,ou=智慧財產局,ou=經濟部,o=行政院,c=TW,,,,,,
經濟部礦務局,2.16.886.101.20003.20007.20013,02-23113001,台北市中正區中華路1段53號,ou=礦務局,ou=經濟部,o=行政院,c=TW,,,,,,
經濟部礦務局東區辦事處,2.16.886.101.20003.20007.20013.20001,038-221157,花蓮市文苑路10號,ou=東區辦事處,ou=礦務局,ou=經濟部,o=行政院,c=TW,,,,,
經濟部水利署,2.16.886.101.20003.20007.20014,04-22501250,台中市南屯區黎明路2段501號,ou=水利署,ou=經濟部,o=行政院,c=TW,,,,,,
經濟部水利署北區水資源局,2.16.886.101.20003.20007.20014.20001,03-4712001,桃園縣龍潭鄉佳安村佳安路2號,ou=北區水資源局,ou=水利署,ou=經濟部,o=行政院,c=TW,,,,,
經濟部水利署中區水資源局,2.16.886.101.20003.20007.20014.20002,04-23320579,台中市霧峰區吉峰里峰堤路195號,ou=中區水資源局,ou=水利署,ou=經濟部,o=行政院,c=TW,,,,,
經濟部水利署南區水資源局,2.16.886.101.20003.20007.20014.20003,06-5753251,台南市楠西區密枝里70號,ou=南區水資源局,ou=水利署,ou=經濟部,o=行政院,c=TW,,,,,
經濟部水利署水利規劃試驗所,2.16.886.101.20003.20007.20014.20004,04-23304788,台中市霧峰區吉峰里中正路1340號,ou=水利規劃試驗所,ou=水利署,ou=經濟部,o=行政院,c=TW,,,,,
經濟部水利署臺北水源特定區管理局,2.16.886.101.20003.20007.20014.20005,02-29173282,新店市北新路1段45巷5號4樓,ou=臺北水源特定區管理局,ou=水利署,ou=經濟部,o=行政院,c=TW,,,,,
經濟部水利署第一河川局,2.16.886.101.20003.20007.20014.20006,03-9324031,宜蘭市民權新路4號,ou=第一河川局,ou=水利署,ou=經濟部,o=行政院,c=TW,,,,,
經濟部水利署第二河川局,2.16.886.101.20003.20007.20014.20007,03-5322334,新竹市北大路97號,ou=第二河川局,ou=水利署,ou=經濟部,o=行政院,c=TW,,,,,
經濟部水利署第三河川局,2.16.886.101.20003.20007.20014.20008,04-23317588,台中市霧峰區峰堤路191號,ou=第三河川局,ou=水利署,ou=經濟部,o=行政院,c=TW,,,,,
經濟部水利署第四河川局,2.16.886.101.20003.20007.20014.20009,04-8892105,彰化縣溪州鄉尾厝村中山路3段640號,ou=第四河川局,ou=水利署,ou=經濟部,o=行政院,c=TW,,,,,
經濟部水利署第五河川局,2.16.886.101.20003.20007.20014.20010,05-2304406-131,嘉義市親水路123號,ou=第五河川局,ou=水利署,ou=經濟部,o=行政院,c=TW,,,,,
經濟部水利署第六河川局,2.16.886.101.20003.20007.20014.20011,07-6279009,高雄市岡山區柳橋西路15號,ou=第六河川局,ou=水利署,ou=經濟部,o=行政院,c=TW,,,,,
經濟部水利署第七河川局,2.16.886.101.20003.20007.20014.20012,08-7554502,屏東市建國路291號,ou=第七河川局,ou=水利署,ou=經濟部,o=行政院,c=TW,,,,,
經濟部水利署第八河川局,2.16.886.101.20003.20007.20014.20013,089-322023,台東市寶桑路24號,ou=第八河川局,ou=水利署,ou=經濟部,o=行政院,c=TW,,,,,
經濟部水利署第九河川局,2.16.886.101.20003.20007.20014.20014,03-8325103,花蓮市仁愛街19號,ou=第九河川局,ou=水利署,ou=經濟部,o=行政院,c=TW,,,,,
